count,percentage,avg_smaller_mass,avg_larger_mass,avg_mass_ratio,avg_merged_mass,median_smaller_mass,median_larger_mass,median_mass_ratio,median_merged_mass
3230,12.635,0.826,60.308,0.021,60.915,0.201,52.209,0.004,52.643
22261,87.083,0.672,34.164,0.023,34.047,0.209,26.156,0.007,26.369
58,0.227,23.088,36.518,0.718,58.846,19.631,30.1,0.767,46.013
3,0.012,1.19,12.853,0.096,14.037,1.182,12.88,0.088,14.014
11,0.043,0.213,136.411,0.002,113.876,0.195,136.05,0.002,125.215
