count,percentage,avg_smaller_mass,avg_larger_mass,avg_mass_ratio,avg_merged_mass,median_smaller_mass,median_larger_mass,median_mass_ratio,median_merged_mass
111,0.434,14.678,38.526,0.397,53.076,9.726,29.587,0.328,41.386
753,2.946,10.128,29.295,0.334,39.082,5.419,22.273,0.224,29.171
58,0.227,23.088,36.518,0.718,58.846,19.631,30.1,0.767,46.013
1,0.004,1.182,9.942,0.119,11.109,1.182,9.942,0.119,11.109
0,0.0,,,,,,,,
